fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,0
9.3,0.43,0.44,1.9,0.085,9.0,22.0,0.99708,3.28,0.55,9.5,
7.5,0.38,0.48,2.6,0.073,22.0,84.0,0.9972,3.32,0.7,9.6,
8.6,0.42,0.39,1.8,0.068,6.0,12.0,0.99516,3.35,0.69,11.7,
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,
9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.99692,3.29,0.67,10.0,
5.8,1.01,0.66,2.0,0.039,15.0,88.0,0.99357,3.66,0.6,11.5,
7.0,0.55,0.13,2.2,0.075,15.0,35.0,0.9959,3.36,0.59,9.7,
9.1,0.37,0.32,2.1,0.064,4.0,15.0,0.99576,3.3,0.8,11.2,
7.0,0.51,0.09,2.1,0.062,4.0,9.0,0.99584,3.35,0.54,10.5,
6.4,0.57,0.14,3.9,0.07,27.0,73.0,0.99669,3.32,0.48,9.2,
6.7,0.86,0.07,2.0,0.1,20.0,57.0,0.99598,3.6,0.74,11.7,
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,
11.6,0.475,0.4,1.4,0.091,6.0,28.0,0.99704,3.07,0.65,10.0333333333333,
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,
7.2,0.62,0.06,2.7,0.077,15.0,85.0,0.99746,3.51,0.54,9.5,
7.6,0.48,0.31,2.8,0.07,4.0,15.0,0.99693,3.22,0.55,10.3,
7.1,0.43,0.17,1.8,0.0819999999999999,27.0,51.0,0.99634,3.49,0.64,10.4,
8.4,0.37,0.43,2.3,0.063,12.0,19.0,0.9955,3.17,0.81,11.2,
5.6,0.66,0.0,2.5,0.066,7.0,15.0,0.99256,3.52,0.58,12.9,
8.2,0.32,0.42,2.3,0.098,3.0,9.0,0.99506,3.27,0.55,12.3,
9.8,0.3,0.39,1.7,0.062,3.0,9.0,0.9948,3.14,0.57,11.5,
6.1,0.21,0.4,1.4,0.066,40.5,165.0,0.9912,3.25,0.59,11.9,
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,
9.4,0.4,0.47,2.5,0.087,6.0,20.0,0.99772,3.15,0.5,10.5,
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,
6.9,0.63,0.33,6.7,0.235,66.0,115.0,0.99787,3.22,0.56,9.5,
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,
7.1,0.75,0.01,2.2,0.059,11.0,18.0,0.99242,3.39,0.4,12.8,
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,
6.5,0.88,0.03,5.6,0.079,23.0,47.0,0.99572,3.58,0.5,11.2,
7.1,0.46,0.14,2.8,0.076,15.0,37.0,0.99624,3.36,0.49,10.7,
6.4,0.67,0.08,2.1,0.045,19.0,48.0,0.9949,3.49,0.49,11.4,
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,
7.0,0.56,0.17,1.7,0.065,15.0,24.0,0.99514,3.44,0.68,10.55,
8.9,0.875,0.13,3.45,0.088,4.0,14.0,0.9994,3.44,0.52,11.5,
5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.9927,3.54,0.62,12.2,
8.3,0.54,0.24,3.4,0.076,16.0,112.0,0.9976,3.27,0.61,9.4,
8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,
9.0,0.82,0.14,2.6,0.089,9.0,23.0,0.9984,3.39,0.63,9.8,
10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.22,0.64,10.3,
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,
8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.53,9.4,
7.5,0.41,0.15,3.7,0.104,29.0,94.0,0.99786,3.14,0.58,9.1,
8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,
9.5,0.78,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.56,10.6,
6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.23333333333333,
5.9,0.645,0.12,2.0,0.075,32.0,44.0,0.99547,3.57,0.71,10.2,
9.6,0.41,0.37,2.3,0.091,10.0,23.0,0.99786,3.24,0.56,10.5,
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,
8.7,0.33,0.38,3.3,0.063,10.0,19.0,0.99468,3.3,0.73,12.0,
8.1,0.78,0.23,2.6,0.059,5.0,15.0,0.997,3.37,0.56,11.3,
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,
7.7,0.915,0.12,2.2,0.143,7.0,23.0,0.9964,3.35,0.65,10.2,
7.6,0.43,0.31,2.1,0.069,13.0,74.0,0.9958,3.26,0.54,9.9,
9.9,0.74,0.19,5.8,0.111,33.0,76.0,0.99878,3.14,0.55,9.4,
9.1,0.775,0.22,2.2,0.079,12.0,48.0,0.9976,3.18,0.51,9.6,
6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4,
7.7,0.715,0.01,2.1,0.064,31.0,43.0,0.99371,3.41,0.57,11.8,
8.3,0.65,0.1,2.9,0.089,17.0,40.0,0.99803,3.29,0.55,9.5,
12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,
8.8,0.27,0.46,2.1,0.095,20.0,29.0,0.99488,3.26,0.56,11.3,
9.5,0.57,0.27,2.3,0.0819999999999999,23.0,144.0,0.99782,3.27,0.55,9.4,
6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.25,
8.8,0.955,0.05,1.8,0.075,5.0,19.0,0.99616,3.3,0.44,9.6,
7.2,0.645,0.0,1.9,0.0969999999999999,15.0,39.0,0.99675,3.37,0.58,9.2,
10.6,0.5,0.45,2.6,0.119,34.0,68.0,0.99708,3.23,0.72,10.9,
7.7,0.23,0.37,1.8,0.046,23.0,60.0,0.9971,3.41,0.71,12.1,
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,
9.0,0.46,0.31,2.8,0.093,19.0,98.0,0.99815,3.32,0.63,9.5,
6.7,1.04,0.08,2.3,0.067,19.0,32.0,0.99648,3.52,0.57,11.0,
5.4,0.74,0.0,1.2,0.0409999999999999,16.0,46.0,0.99258,4.01,0.59,12.5,
6.7,0.75,0.01,2.4,0.078,17.0,32.0,0.9955,3.55,0.61,12.8,
6.8,0.64,0.03,2.3,0.075,14.0,31.0,0.99545,3.36,0.58,10.4,
8.3,0.78,0.1,2.6,0.081,45.0,87.0,0.9983,3.48,0.53,10.0,
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,
10.2,0.44,0.58,4.1,0.092,11.0,24.0,0.99745,3.29,0.99,12.0,
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,
9.8,0.51,0.19,3.2,0.081,8.0,30.0,0.9984,3.23,0.58,10.5,
6.6,0.725,0.09,5.5,0.1169999999999999,9.0,17.0,0.99655,3.35,0.49,10.8,
9.6,0.33,0.52,2.2,0.074,13.0,25.0,0.99509,3.36,0.76,12.4,
10.9,0.37,0.58,4.0,0.071,17.0,65.0,0.99935,3.22,0.78,10.1,
10.2,0.4,0.4,2.5,0.068,41.0,54.0,0.99754,3.38,0.86,10.5,
8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,
9.9,0.35,0.38,1.5,0.0579999999999999,31.0,47.0,0.99676,3.26,0.82,10.6,
10.5,0.24,0.47,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,
8.0,0.64,0.22,2.4,0.094,5.0,33.0,0.99612,3.37,0.58,11.0,
10.0,0.73,0.43,2.3,0.059,15.0,31.0,0.9966,3.15,0.57,11.0,
8.8,0.61,0.19,4.0,0.094,30.0,69.0,0.99787,3.22,0.5,10.0,
5.0,0.74,0.0,1.2,0.0409999999999999,16.0,46.0,0.99258,4.01,0.59,12.5,
9.9,0.35,0.41,2.3,0.083,11.0,61.0,0.9982,3.21,0.5,9.5,
8.8,0.685,0.26,1.6,0.088,16.0,23.0,0.99694,3.32,0.47,9.4,
8.5,0.4,0.4,6.3,0.05,3.0,10.0,0.99566,3.28,0.56,12.0,
9.7,0.31,0.47,1.6,0.062,13.0,33.0,0.9983,3.27,0.66,10.0,
14.0,0.41,0.63,3.8,0.089,6.0,47.0,1.0014,3.01,0.81,10.8,
6.3,0.51,0.13,2.3,0.076,29.0,40.0,0.99574,3.42,0.75,11.0,
6.7,0.7,0.08,3.75,0.067,8.0,16.0,0.99334,3.43,0.52,12.6,
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,
7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,
9.8,0.45,0.38,2.5,0.081,34.0,66.0,0.99726,3.15,0.58,9.8,
6.5,0.67,0.0,4.3,0.057,11.0,20.0,0.99488,3.45,0.56,11.8,
9.9,0.74,0.28,2.6,0.078,21.0,77.0,0.998,3.28,0.51,9.8,
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,
13.2,0.46,0.52,2.2,0.071,12.0,35.0,1.0006,3.1,0.56,9.0,
6.9,0.51,0.23,2.0,0.072,13.0,22.0,0.99438,3.4,0.84,11.2,
8.6,0.47,0.47,2.4,0.074,7.0,29.0,0.9979,3.08,0.46,9.5,
11.2,0.66,0.24,2.5,0.085,16.0,53.0,0.9993,3.06,0.72,11.0,
8.3,0.76,0.29,4.2,0.075,12.0,16.0,0.9965,3.45,0.68,11.5,
8.4,0.56,0.04,2.0,0.0819999999999999,10.0,22.0,0.9976,3.22,0.44,9.6,
7.5,0.38,0.57,2.3,0.106,5.0,12.0,0.99605,3.36,0.55,11.4,
9.3,0.37,0.44,1.6,0.038,21.0,42.0,0.99526,3.24,0.81,10.8,
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,
11.5,0.315,0.54,2.1,0.084,5.0,15.0,0.9987,2.98,0.7,9.2,
7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,3.38,0.52,9.5,
7.2,0.34,0.32,2.5,0.09,43.0,113.0,0.9966,3.32,0.79,11.1,
12.4,0.4,0.51,2.0,0.059,6.0,24.0,0.9994,3.04,0.6,9.3,
5.6,0.915,0.0,2.1,0.0409999999999999,17.0,78.0,0.99346,3.68,0.73,11.4,
7.8,0.32,0.44,2.7,0.104,8.0,17.0,0.99732,3.33,0.78,11.0,
9.7,0.69,0.32,2.5,0.088,22.0,91.0,0.9979,3.29,0.62,10.1,
7.5,0.59,0.22,1.8,0.0819999999999999,43.0,60.0,0.99499,3.1,0.42,9.2,
7.9,0.66,0.0,1.4,0.096,6.0,13.0,0.99569,3.43,0.58,9.5,
11.5,0.42,0.48,2.6,0.077,8.0,20.0,0.99852,3.09,0.53,11.0,
9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,
12.0,0.39,0.66,3.0,0.093,12.0,30.0,0.9996,3.18,0.63,10.8,
8.1,0.72,0.09,2.8,0.084,18.0,49.0,0.9994,3.43,0.72,11.1,
10.2,0.44,0.42,2.0,0.071,7.0,20.0,0.99566,3.14,0.79,11.1,
5.9,0.55,0.1,2.2,0.062,39.0,51.0,0.99512,3.52,0.76,11.2,
6.1,0.59,0.01,2.1,0.0559999999999999,5.0,13.0,0.99472,3.52,0.56,11.4,
9.1,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,
8.4,0.62,0.12,1.8,0.072,38.0,46.0,0.99504,3.38,0.89,11.8,
7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,
7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,
8.4,0.34,0.42,2.1,0.072,23.0,36.0,0.99392,3.11,0.78,12.4,
5.5,0.49,0.03,1.8,0.044,28.0,87.0,0.9908,3.5,0.82,14.0,
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,
8.7,0.69,0.0,3.2,0.084,13.0,33.0,0.9992,3.36,0.45,9.4,
6.9,0.4,0.24,2.5,0.083,30.0,45.0,0.9959,3.26,0.58,10.0,
6.7,0.67,0.02,1.9,0.061,26.0,42.0,0.99489,3.39,0.82,10.9,
8.4,0.67,0.19,2.2,0.093,11.0,75.0,0.99736,3.2,0.59,9.2,
10.0,0.69,0.11,1.4,0.084,8.0,24.0,0.99578,2.88,0.47,9.7,
6.8,0.77,0.0,1.8,0.066,34.0,52.0,0.9976,3.62,0.68,9.9,
10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,
10.3,0.34,0.52,2.8,0.159,15.0,75.0,0.9998,3.18,0.64,9.4,
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,
9.6,0.56,0.23,3.4,0.102,37.0,92.0,0.9996,3.3,0.65,10.1,
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,
9.9,0.57,0.25,2.0,0.104,12.0,89.0,0.9963,3.04,0.9,10.1,
6.5,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,
7.2,0.58,0.03,2.3,0.077,7.0,28.0,0.99568,3.35,0.52,10.0,
9.1,0.28,0.46,9.0,0.114,3.0,9.0,0.99901,3.18,0.6,10.9,
9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.99516,3.26,0.84,11.7,
7.3,0.91,0.1,1.8,0.074,20.0,56.0,0.99672,3.35,0.56,9.2,
7.3,0.74,0.08,1.7,0.094,10.0,45.0,0.99576,3.24,0.5,9.8,
6.6,0.815,0.02,2.7,0.072,17.0,34.0,0.9955,3.58,0.89,12.3,
7.2,0.66,0.03,2.3,0.078,16.0,86.0,0.99743,3.53,0.57,9.7,
7.3,0.35,0.24,2.0,0.067,28.0,48.0,0.99576,3.43,0.54,10.0,
7.3,0.69,0.32,2.2,0.069,35.0,104.0,0.99632,3.33,0.51,9.5,
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,
9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.99613,3.29,0.58,11.1,
6.2,0.785,0.0,2.1,0.06,6.0,13.0,0.99664,3.59,0.61,10.0,
10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.99598,3.06,0.84,11.4,
9.1,0.47,0.49,2.6,0.094,38.0,106.0,0.9982,3.08,0.59,9.1,
7.0,0.6,0.3,4.5,0.068,20.0,110.0,0.99914,3.3,1.17,10.2,
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,
7.1,0.46,0.2,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4,
7.4,0.63,0.07,2.4,0.09,11.0,37.0,0.9979,3.43,0.76,9.7,
7.5,0.58,0.56,3.1,0.153,5.0,14.0,0.99476,3.21,1.03,11.6,
10.0,0.58,0.22,1.9,0.08,9.0,32.0,0.9974,3.13,0.55,9.5,
6.7,0.41,0.43,2.8,0.076,22.0,54.0,0.99572,3.42,1.16,10.6,
9.0,0.43,0.34,2.5,0.08,26.0,86.0,0.9987,3.38,0.62,9.5,
8.3,0.3,0.49,3.8,0.09,11.0,24.0,0.99498,3.27,0.64,12.1,
7.7,0.835,0.0,2.6,0.081,6.0,14.0,0.9975,3.3,0.52,9.3,
7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,3.46,0.62,9.5,
7.2,0.52,0.07,1.4,0.074,5.0,20.0,0.9973,3.32,0.81,9.6,
8.9,0.595,0.41,7.9,0.086,30.0,109.0,0.9998,3.27,0.57,9.3,
9.8,0.66,0.39,3.2,0.083,21.0,59.0,0.9989,3.37,0.71,11.5,
7.7,0.965,0.1,2.1,0.1119999999999999,11.0,22.0,0.9963,3.26,0.5,9.5,
7.279556124959138,1.0605413291244425,0.02007397917347703,4.832145396030834,0.0909778062479568,4.197040833060919,14.0,0.9971941897835349,3.5376596958020055,0.5319704083306093,10.499260208265229,
6.973046421616689,0.8385008462147981,0.04047848162125169,4.46220261076272,0.08073046421616682,3.9521518378748306,13.365232108083447,0.9974198413924068,3.447607591893741,0.5549122340554105,10.12065401351043,
6.9134241896239095,0.8376848379247819,0.01890403160398493,2.9013628443586437,0.19705508306525574,11.08495178296392,23.32879051880452,0.9959841317301086,3.3502464505663756,0.513780806320797,9.951232252831879,
9.20703853744931,0.924700401153135,0.28396319874203446,3.3679930948164083,0.08710431277111086,7.151236354106322,28.19815993710172,0.9984070385374493,3.4665060370879193,0.552907418124638,9.96857963960385,
7.302619792207275,0.9853705740249132,0.048690103896362615,2.1563255324564077,0.06194312519461891,19.607031168908783,48.08307272745383,0.9970382109350673,3.318383335063279,0.5497380207792726,9.726197922072746,
6.8288796434262755,0.7970528974850543,0.02966597325697067,3.0565765234061866,0.07928879643426273,5.033402674302933,12.644398217131378,0.9966701741458166,3.5016701337151463,0.5945580980577743,10.030549777141422,
7.340429033471867,1.1234433345875956,0.009928494421355544,4.537926338219311,0.09402145167359324,4.602860223145778,14.0,0.9968938834348722,3.5843289256617643,0.5360286022314578,10.600715055786443,
9.765185659803459,0.7506804037392131,0.39971238429770006,2.157329899065197,0.06845288687847557,14.267010093480328,47.853402018696066,0.9991998712149448,3.2756020605608818,0.5614659798130394,9.298690706543622,
6.940342367842097,0.9059221519041298,0.01313307520451154,2.6411982874473363,0.084523578555714,5.656653760225577,12.686692479548846,0.9962060077438647,3.5774676991819536,0.599098838420302,10.207509679830817,
7.77133374099888,0.7674451189302631,0.1335583893873461,1.4023611960414333,0.22794428916400333,14.785832823751399,32.642501528745804,0.9959423796838923,3.3058347162770993,0.522141671762486,9.638111043166854,
7.051999315425372,0.8611998031847946,0.04639994865690296,5.231993325397384,0.08151999315425365,3.360005134309705,13.759996577126863,0.9978303964402119,3.418000256715485,0.5332001882580225,10.169999572140858,
6.828847413252088,0.8207694826504176,0.004807902208681401,1.632711198781326,0.24921076182787882,14.749945425742835,27.55762933739558,0.9950340526088651,3.32769264353389,0.5109615804417363,9.838463217669451,
7.0023681125748425,0.9397936694211529,0.0,2.22870457225545,0.20966236810379454,12.289917936127885,23.940797185628934,0.9953474595546108,3.4245568581636685,0.5201184056287421,10.103552168862265,
8.31593717913391,0.7952885627012214,0.21482703983815227,4.754271082895848,0.07983833390376187,4.891457834208305,22.916872646982007,0.9988149664727209,3.3594687606955365,0.5335104131014878,9.87575008556429,
6.875710010451376,0.8301420020902753,0.012618335075229487,2.3356501567706536,0.2203121602216509,12.719232880440334,25.214499477431154,0.9955604757840705,3.340189336120367,0.5125236670150459,9.900946680601836,
6.801571440111818,0.821668374353604,0.017097958853948048,2.155500040391364,0.08075693908874934,5.854897942697402,12.290204114605196,0.9960870612343815,3.5616081645842077,0.6169408148427662,10.058826542976947,
7.116628787785248,1.0102544191342362,0.0,2.809529671241677,0.17728851012751304,10.195138890603786,21.0842803053688,0.9957073806815235,3.4835915403557114,0.5258314393892625,10.274943181677871,
7.990275121979309,0.8166375197813565,0.17068173875719522,5.007563794016093,0.08041728867203671,4.384872411967813,20.528684227848263,0.9986181218515074,3.3703241626006895,0.5298919457997701,9.962593300805517,
9.761700623923907,0.7510045931233574,0.39921799548687986,2.1572488517191606,0.06844235072349088,14.275114828083936,47.85502296561679,0.9991968319394685,3.2756506889685038,0.5614497703438321,9.299258037965876,
7.1800572424137465,0.9577258171608716,0.036657126264375554,5.3130566616668915,0.08600286212068724,3.5337149494249775,14.0,0.9976850509374255,3.4613772191838725,0.5253371494942498,10.333428737356243,
9.264447676411748,0.7331084301018964,0.34340290724692596,4.016540696124196,0.07815209301971239,6.366918607751609,29.872616293686157,0.9993882883732977,3.3278517441196085,0.5440494186267972,9.622813952956866,
10.614800815158118,0.6716464357992448,0.5202391854061517,2.177088391050189,0.07102149083652454,12.29116089498112,47.45823217899623,0.999940814664382,3.2637469653698865,0.5654176782100377,9.160381262648679,
6.872456803718114,0.8095813310689577,0.03293426027885853,3.4814538362516094,0.0797245680371811,4.706573972114146,12.862284018590568,0.9968967753793342,3.485328698605707,0.5825743789775187,10.05778550232382,
6.939712963577594,0.8429425927155189,0.023285493929599044,3.2956944536639137,0.1808436724604835,9.94577157830425,22.014351821120286,0.996279442290855,3.3572567902873582,0.5146570987859198,9.986283951436793,
7.202806672385984,0.9812335614655173,0.03286555460233591,5.203101083467741,0.08714033361929913,3.6853778159065635,14.0,0.9975728204162292,3.4788184488292546,0.5268537781590656,10.37134445397664,
6.820462804525011,0.8190925609050022,0.003410467420835206,1.5069420678751686,0.25438127054290977,15.113278470582847,27.97685977374944,0.9949398655041642,3.325456747873336,0.510682093484167,9.827283739366683,
6.988962089664049,0.8773574895891364,0.018896208966404995,1.5401317613952898,0.18914761905841143,17.5116967173124,36.558483586562,0.9955943425796278,3.316220758206719,0.5251169671731241,9.762207582067191,
7.11592521553965,0.8833607381583165,0.05,5.413346120286292,0.08032785236833662,4.35364332087029,16.78691271943883,0.9979979851399707,3.3928336530071572,0.5223887823309475,10.160186961150874,
7.177322988212997,0.8699310485504812,0.060481560624428554,5.6398598980565575,0.08186253690984346,3.1202802038868853,14.567035246895315,0.9981267374506532,3.3974225670595666,0.5208591443134778,10.179380536476533,
6.808967710798458,0.799954827292768,0.025448385539922916,1.854483855399229,0.07491258152737701,8.542579918630693,18.71967549923826,0.9961906934938973,3.5064129156806167,0.6154709718935389,9.904596787167309,
7.137628260455892,0.8947548367393433,0.05,5.022691311793944,0.07804903265213126,6.198402138750824,20.58494557978111,0.9978862144586521,3.3830672827948485,0.5256442390683839,10.105929348860268,
7.12500767100882,0.8881290272796307,0.05,5.249861921841234,0.07937419454407378,5.125652035749733,18.376342426543566,0.9979512104943046,3.3887465480460306,0.523751150651323,10.137480822477949,
7.331158674761405,1.0438752832608817,0.03442066261929717,2.769911507370222,0.07221712291410601,15.326198785789149,38.094463833508016,0.9969097859635737,3.409707759236498,0.5468841325238595,10.011586747614055,
9.208123466469422,0.9245441197109523,0.284133687588052,3.36746354612802,0.08709837149314359,7.152527936273121,28.206684379402603,0.9984081234664695,3.4664078768432427,0.5529151676176387,9.968140501667138,
7.2678057126368785,0.9630979991343611,0.05,2.6794971725361916,0.06438040017312777,17.263485574134652,43.365999711453696,0.9972158005799201,3.324487429313405,0.5451708568955318,9.780485718407803,
7.0268160159343145,0.9584240096744052,0.010662399544733874,2.943856055770101,0.08687072043250277,5.5331199772366935,12.933760045526613,0.996280128013658,3.5873504018210642,0.5879807979513024,10.300160017072479,
7.334517205115522,1.050760270486819,0.03274139744223925,2.8421199099837122,0.0734261938415877,14.822419232671775,36.91897820956748,0.9968946725769802,3.420455056369669,0.5465482794884479,10.045172051155214,
8.11267981016338,0.8086132124448451,0.1872743742665916,4.912360147650704,0.08019968033748726,4.575279704698592,21.426318607864793,0.9986921086852543,3.366244006327887,0.5312519978907042,9.929952050623099,
7.340748813123421,1.0635350669030117,0.02962559343828984,2.976099482153537,0.07566957272443128,13.887678031486951,34.737915406802884,0.9968666303409446,3.440396201994945,0.545925118687658,10.107488131234202,
7.368773016229809,1.120984683271107,0.01561349188509585,3.5786198489408787,0.08575828584273093,9.684047565528754,24.929444319567093,0.9967405214269659,3.5300736519353864,0.5431226983770192,10.387730162298082,
6.850216667918989,0.8459669452167102,0.0,1.4552680619215304,0.2527719440896196,15.079361088151858,27.744583302025262,0.9948681825039448,3.345945278424811,0.5125108333959495,9.875325001878485,
7.254817762475779,0.9650898616170069,0.045481776247577856,2.0186719724564015,0.07961508185997923,19.63854209980623,47.19271049903114,0.9968385471283866,3.3109036447504843,0.5463854209980623,9.709036447504843,
7.3257118293782195,1.0327092502253503,0.037144085310890196,2.652804331631722,0.07025625857615904,16.143225593267058,40.00085971762313,0.996934296767798,3.392277854010303,0.547428817062178,9.957118293782196,
6.866534780446417,0.8560297812752907,0.0,1.5382184672692891,0.24814847887351504,14.78019569181568,27.33663048883956,0.9949195845584062,3.354376303230649,0.5133267390223208,9.899802170669627,
6.777185092807645,0.782190714182198,0.025788881960573384,2.55255465487454,0.07877185092807644,5.421111803942662,12.385925464038225,0.9964013624825997,3.521055590197133,0.6087740994778976,9.998240683004777,
7.04970891947522,0.9723232725385266,0.010008316586422279,3.023981218163271,0.08749209924289879,5.500415829321114,12.999168341357771,0.9962997505024074,3.5899667336543106,0.5850374246389003,10.324688128009164,
7.018575700392379,0.8587151400784757,0.03642928339872981,4.478635505885683,0.13221165142469962,6.5283863163302485,18.071214980381058,0.9971653337010744,3.3782868534379675,0.517285856679746,10.091434267189838,
10.725583358683075,0.7059576352373188,0.5225916706501976,2.6267985987380227,0.07878847208340219,8.959027807956042,40.12958353250988,0.999925583358683,3.3291138865953407,0.5637541668477363,9.353930545294945,
8.44174094518437,1.0349396971817755,0.1637021485289723,3.741531205326677,0.09129522815732362,6.240167791886154,22.185107426448614,0.9976417409451844,3.5357472478166523,0.5474410067513169,10.278342950758708,
6.78899687503818,0.7926321875139992,0.024449843751908992,1.84449843751909,0.07547842187391823,8.076593750890861,17.488140627354422,0.9961557445313168,3.514401249984728,0.6181337499949093,9.91291796873409,
8.971319232203873,0.7523246281110794,0.30366771814319166,4.244529486063654,0.07867321025385972,5.910941027872692,27.723007702828404,0.9992111085136877,3.337622692259871,0.5407924359133763,9.700981538078967,
8.578243170939343,0.6910033120879425,0.26532155702064886,1.9533259731379056,0.07646674026862094,7.533259731379055,25.416022649566735,0.9978399116776548,3.4350055201465706,0.6070011040293142,9.585850813797475,
10.595235601271224,0.6734664556957,0.5174636550640574,2.176633386076075,0.07096234018988974,12.3366613923925,47.4673322784785,0.9999237519778528,3.264019968354355,0.565326677215215,9.163566297467474,
7.130590177827739,0.9066098504219973,0.04490163702871013,5.552147473832594,0.08352950889138687,3.203934518851595,14.0,0.9979290884560498,3.423452469667933,0.5220393451885159,10.250983629712898,
7.109514210181118,1.005867096278356,0.0,2.7733639017540157,0.1793043071153499,10.325572813346172,21.262144745472053,0.9956849697620705,3.4799156752602443,0.525475710509056,10.264271315271676,
9.403992145609086,0.8963297028348817,0.31491305145285636,3.2718609765479463,0.08602575729785496,7.385704935248912,29.74565257264282,0.998603992145609,3.4486864249210827,0.5543142296114935,9.88886032201537,
7.308397013544102,1.1285114916855297,0.0,3.784351485515852,0.12295417949583767,6.6793880850247955,16.290074661397448,0.9963114505926639,3.582671790331119,0.5354198506772051,10.562595520316153,
9.746850535528036,0.6480748782867252,0.41795598831386593,2.0487224926961662,0.07551277507303833,8.487224926961662,33.76321811091454,0.9989846699123539,3.3634581304778752,0.592691626095575,9.359284079846605,
